epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1495.98,0.8647,0.59332,0.94685,0.87129,0.8218,0.89688,0.65067,0.88383,inf,0.96477,0.000466997,0.000466997,0.000466997
70,1517.98,0.8596,0.59553,0.9495,0.86888,0.82927,0.898,0.64633,0.89274,inf,0.96647,0.00045285,0.00045285,0.00045285
71,1538.31,0.8636,0.59529,0.94495,0.85873,0.82503,0.89099,0.61041,0.96806,inf,0.99127,0.000438703,0.000438703,0.000438703
72,1560.67,0.86278,0.59127,0.9472,0.86659,0.83045,0.8965,0.63505,0.92506,inf,0.97358,0.000424556,0.000424556,0.000424556
73,1581.58,0.85833,0.58871,0.94542,0.86647,0.82013,0.89236,0.62761,0.93017,inf,0.97789,0.000410409,0.000410409,0.000410409
74,1602.24,0.85084,0.5877,0.9416,0.84966,0.81306,0.88382,0.59443,1.00043,inf,0.99688,0.000396262,0.000396262,0.000396262
75,1624.44,0.85393,0.58678,0.94392,0.87607,0.82642,0.89877,0.64506,0.90166,inf,0.97045,0.000382115,0.000382115,0.000382115
76,1646.26,0.85844,0.5883,0.94433,0.8715,0.83067,0.89814,0.62438,0.94249,inf,0.97831,0.000367967,0.000367967,0.000367967
77,1667.45,0.86317,0.58397,0.94763,0.87187,0.82947,0.89563,0.63849,0.90868,inf,0.97065,0.00035382,0.00035382,0.00035382
78,1688.91,0.85986,0.58718,0.94313,0.87948,0.82455,0.89868,0.65264,0.88495,inf,0.96425,0.000339673,0.000339673,0.000339673
79,1712.79,0.84774,0.57506,0.9422,0.86644,0.83437,0.90029,0.64966,0.89862,inf,0.97004,0.000325526,0.000325526,0.000325526
80,1734.56,0.85353,0.58229,0.94424,0.86799,0.83576,0.90039,0.65293,0.88553,inf,0.96617,0.000311379,0.000311379,0.000311379
81,1756.03,0.84621,0.5768,0.93911,0.8703,0.83206,0.90128,0.65526,0.87822,inf,0.96262,0.000297232,0.000297232,0.000297232
82,1776.71,0.83928,0.57008,0.93729,0.87535,0.83159,0.90022,0.65081,0.89276,inf,0.96505,0.000283085,0.000283085,0.000283085
83,1798.11,0.84093,0.56808,0.93934,0.87468,0.83319,0.90174,0.65816,0.87481,inf,0.9604,0.000268938,0.000268938,0.000268938
84,1819.98,0.84394,0.57425,0.94265,0.87311,0.83351,0.90284,0.65611,0.88767,inf,0.96358,0.000254791,0.000254791,0.000254791
85,1842.16,0.84954,0.56962,0.93938,0.86922,0.82219,0.89394,0.62096,0.96773,inf,0.98835,0.000240644,0.000240644,0.000240644
86,1863.39,0.83918,0.56795,0.93825,0.87521,0.82417,0.89842,0.64633,0.90058,inf,0.96962,0.000226497,0.000226497,0.000226497
87,1883.16,0.83746,0.56374,0.93763,0.86981,0.82606,0.89572,0.64074,0.91198,inf,0.96932,0.000212349,0.000212349,0.000212349
88,1906.31,0.83452,0.56354,0.93981,0.88069,0.82723,0.90003,0.65341,0.88407,inf,0.96326,0.000198202,0.000198202,0.000198202
89,1929.73,0.8382,0.56294,0.93822,0.87124,0.83166,0.8988,0.64689,0.90328,inf,0.96777,0.000184055,0.000184055,0.000184055
90,1950.33,0.83155,0.56043,0.93452,0.87646,0.82926,0.89912,0.649,0.89322,inf,0.96583,0.000169908,0.000169908,0.000169908
91,1988.2,0.83827,0.58381,0.9483,0.85439,0.80641,0.87279,0.61789,0.92472,inf,0.9781,0.000155761,0.000155761,0.000155761
92,2013.03,0.80885,0.52858,0.93586,0.87784,0.82321,0.89401,0.64939,0.88748,inf,0.96412,0.000141614,0.000141614,0.000141614
93,2033.16,0.80158,0.51349,0.93502,0.8705,0.83596,0.89832,0.64651,0.90108,inf,0.97087,0.000127467,0.000127467,0.000127467
94,2050.8,0.80561,0.51711,0.93383,0.87393,0.83254,0.8995,0.64368,0.91035,inf,0.9713,0.00011332,0.00011332,0.00011332
95,2073.74,0.80239,0.51118,0.93325,0.86865,0.83616,0.89916,0.64372,0.9084,inf,0.97051,9.91726e-05,9.91726e-05,9.91726e-05
96,2093.62,0.79909,0.50895,0.9333,0.87287,0.83012,0.89809,0.63962,0.91937,inf,0.97376,8.50255e-05,8.50255e-05,8.50255e-05
97,2113.7,0.80124,0.51055,0.93616,0.87637,0.8323,0.90064,0.65037,0.89332,inf,0.96808,7.08784e-05,7.08784e-05,7.08784e-05
98,2132.98,0.79469,0.50634,0.92827,0.87041,0.83432,0.90033,0.65317,0.88618,inf,0.966,5.67313e-05,5.67313e-05,5.67313e-05
99,2154.32,0.79577,0.50495,0.93049,0.87788,0.82959,0.90021,0.654,0.88419,inf,0.96465,4.25842e-05,4.25842e-05,4.25842e-05
100,2174.75,0.78831,0.49742,0.92921,0.87717,0.83016,0.9002,0.65067,0.89194,inf,0.96784,2.84371e-05,2.84371e-05,2.84371e-05
